Name                                                    Stmts   Miss  Cover   Missing
src/llm/rag_system/memory/multipart_synthesizer.py        274    240    12%   41-58, 64, 71-74, 97-110, 118-148, 155-181, 189-210, 218-244, 250-257, 261-286, 290-312, 316-328, 332-360, 364-381, 385-404, 408-425, 431-461, 468-484, 488-503, 509-527, 531-540, 547, 568-570, 587
src/llm/rag_system/memory/note_keeper.py                  193    166    14%   55-77, 81-101, 105-109, 119-121, 154-192, 205-220, 229-242, 271-303, 315-324, 333-346, 355-381, 394, 406-416, 428-455, 464, 473-480, 492-507, 516
src/llm/rag_system/memory/note_schemas.py                 101      9    91%   47-49, 154-156, 174-176
src/llm/rag_system/memory/parallel_config.py               82     47    43%   85-94, 110-120, 124-126, 130-137, 141-145, 157-173, 186, 193, 197, 201, 205, 209, 214, 218, 222, 226
src/llm/rag_system/memory/parallel_task_executor.py       144    115    20%   48-49, 71-88, 95-109, 116-152, 156-169, 180-229, 233-249, 259-260, 267-285, 292-316
src/llm/rag_system/memory/progressive_synthesizer.py      615    574     7%   46-80, 84-99, 123-134, 147-175, 189-213, 227-300, 315-380, 395-432, 436-480, 491, 502-532, 544-557, 570-581, 599-676, 689-741, 754-841, 854-912, 926-946, 959-992, 1005-1034, 1049-1081, 1095-1136, 1149-1189, 1206-1312, 1325-1336, 1348-1385, 1397-1416, 1429-1481, 1490-1493
src/llm/rag_system/memory/report_manager.py               206    153    26%   78-98, 114-129, 141-157, 164-181, 187-199, 203-214, 219-271, 276-326, 332, 337-372, 378-394, 399-416, 420-431
src/llm/rag_system/memory/task_based_synthesizer.py       174    140    20%   49-50, 71-116, 121-134, 139-180, 184-201, 205-221, 226-241, 246-255, 261-271, 276-318, 323-346, 351-367, 371, 375, 379
src/llm/rag_system/memory/test_model_allocation.py         88     79    10%   25-80, 85-105, 110-155, 160-171
src/llm/rag_system/memory/tool_result_cache.py            391    365     7%   49-59, 73-124, 136-155, 167-173, 187-215, 224-266, 270-315, 319-354, 358-391, 395-439, 443-487, 491-508, 512-535, 539-650, 654-672, 681-689, 699-706, 710-714
src/llm/rag_system/policy_engine.py                       116     61    47%   49, 51, 53, 55, 77, 83-100, 104-119, 123-131, 136-144, 148-153, 157, 162-165, 169, 173-178, 182, 205, 211, 217, 223, 229
src/llm/rag_system/query_validator.py                      76     54    29%   28-43, 63-114, 124-125, 129-132, 136-139, 143-150, 155-162, 167-168, 173-206, 211-221
src/llm/rag_system/task_executor.py                       671    624     7%   53-57, 80-92, 128-163, 176-222, 244-428, 448-574, 591-648, 663-681, 695-741, 760-941, 955-1126, 1143-1214, 1225-1270, 1274-1288, 1292-1307, 1319-1404, 1417-1446, 1459-1478, 1491-1517, 1521-1584, 1588-1634, 1641-1656, 1660-1699, 1703-1719, 1724-1725, 1737-1785, 1794-1831, 1834
